Date,Coin,Price,Open,High,Low,Vol.,Change %
5/08/2023,ETH,1836.48,1830.24,1838.62,1827.52,103.08K,0.34%
4/08/2023,ETH,1830.24,1835.98,1849.13,1819.65,199.60K,-0.31%
3/08/2023,ETH,1835.98,1839.76,1858.62,1828.34,182.56K,-0.23%
2/08/2023,ETH,1840.21,1874.21,1879.32,1822.94,272.70K,-1.81%
1/08/2023,ETH,1874.21,1856.17,1875.00,1818.06,386.29K,0.97%
31/07/2023,ETH,1856.17,1861.81,1876.03,1851.42,177.97K,-0.30%
30/07/2023,ETH,1861.81,1880.55,1884.33,1851.63,167.77K,-1.00%
29/07/2023,ETH,1880.55,1874.23,1886.26,1869.74,79.76K,0.34%
28/07/2023,ETH,1874.23,1861.32,1882.23,1856.90,148.92K,0.69%
27/07/2023,ETH,1861.32,1872.00,1885.87,1855.40,176.21K,-0.57%
26/07/2023,ETH,1872.00,1857.67,1886.92,1849.43,286.61K,0.77%
25/07/2023,ETH,1857.67,1850.05,1867.36,1845.68,161.06K,0.41%
24/07/2023,ETH,1850.04,1888.85,1890.78,1835.14,297.13K,-2.05%
23/07/2023,ETH,1888.85,1866.26,1903.95,1858.12,164.31K,1.21%
22/07/2023,ETH,1866.25,1891.75,1897.03,1854.09,143.13K,-1.35%
21/07/2023,ETH,1891.75,1891.68,1905.57,1884.95,176.39K,0.03%
20/07/2023,ETH,1891.23,1888.64,1928.36,1879.39,321.92K,0.14%
19/07/2023,ETH,1888.65,1897.58,1920.48,1882.18,244.92K,-0.47%
18/07/2023,ETH,1897.58,1911.24,1917.21,1877.52,233.00K,-0.71%
17/07/2023,ETH,1911.24,1922.45,1935.99,1876.00,293.54K,-0.58%
16/07/2023,ETH,1922.45,1931.43,1942.55,1918.01,158.59K,-0.46%
15/07/2023,ETH,1931.42,1938.05,1946.10,1926.83,145.89K,-0.34%
14/07/2023,ETH,1938.05,2004.77,2025.56,1900.22,530.86K,-3.33%
13/07/2023,ETH,2004.77,1871.86,2010.75,1863.22,588.53K,7.10%
12/07/2023,ETH,1871.86,1878.33,1901.45,1865.11,280.91K,-0.34%
11/07/2023,ETH,1878.33,1880.42,1889.83,1863.93,191.47K,-0.11%
10/07/2023,ETH,1880.42,1862.91,1903.82,1846.71,264.83K,0.94%
9/07/2023,ETH,1862.91,1865.28,1878.22,1856.97,145.47K,-0.13%
8/07/2023,ETH,1865.28,1870.92,1873.16,1843.82,136.69K,-0.30%
7/07/2023,ETH,1870.92,1848.29,1877.51,1827.35,249.82K,1.22%
6/07/2023,ETH,1848.36,1910.43,1957.58,1847.01,483.00K,-3.25%
5/07/2023,ETH,1910.43,1936.21,1942.15,1896.43,284.34K,-1.33%
4/07/2023,ETH,1936.19,1955.56,1966.03,1931.64,226.10K,-0.99%
3/07/2023,ETH,1955.56,1937.57,1974.61,1934.51,346.33K,0.93%
2/07/2023,ETH,1937.57,1924.53,1958.36,1893.68,283.61K,0.68%
1/07/2023,ETH,1924.53,1933.80,1943.20,1909.92,189.41K,-0.48%
30/06/2023,ETH,1933.80,1851.92,1943.65,1837.49,765.42K,4.42%
29/06/2023,ETH,1851.92,1827.95,1878.86,1827.95,256.22K,1.31%
28/06/2023,ETH,1827.95,1889.51,1890.11,1821.94,356.71K,-3.26%
27/06/2023,ETH,1889.51,1859.00,1911.73,1856.19,386.05K,1.64%
26/06/2023,ETH,1859.00,1898.80,1906.07,1840.63,479.76K,-2.10%
25/06/2023,ETH,1898.80,1875.00,1929.61,1869.28,356.99K,1.27%
24/06/2023,ETH,1875.00,1891.98,1904.04,1865.77,239.37K,-0.90%
23/06/2023,ETH,1891.97,1872.29,1932.23,1864.60,428.03K,1.05%
22/06/2023,ETH,1872.32,1889.87,1931.60,1866.66,438.75K,-0.93%
21/06/2023,ETH,1889.87,1791.64,1899.11,1787.59,653.63K,5.48%
20/06/2023,ETH,1791.61,1737.06,1793.35,1715.20,359.77K,3.14%
19/06/2023,ETH,1737.06,1720.98,1748.05,1706.40,263.64K,0.93%
18/06/2023,ETH,1720.98,1727.79,1746.40,1715.90,167.46K,-0.39%
17/06/2023,ETH,1727.79,1717.92,1764.06,1714.30,227.93K,0.57%
16/06/2023,ETH,1717.92,1666.96,1728.35,1653.68,333.35K,3.06%
15/06/2023,ETH,1666.96,1650.96,1678.94,1632.50,397.40K,0.97%
14/06/2023,ETH,1650.96,1739.60,1749.90,1636.49,451.13K,-5.10%
13/06/2023,ETH,1739.60,1742.60,1763.15,1727.64,303.23K,-0.17%
12/06/2023,ETH,1742.60,1752.80,1757.79,1722.92,320.47K,-0.58%
11/06/2023,ETH,1752.80,1751.56,1775.87,1740.02,232.04K,0.07%
10/06/2023,ETH,1751.56,1840.41,1844.23,1719.16,696.59K,-4.83%
9/06/2023,ETH,1840.41,1845.68,1854.72,1828.66,215.71K,-0.29%
8/06/2023,ETH,1845.68,1832.10,1860.53,1829.38,202.78K,0.74%
7/06/2023,ETH,1832.10,1884.63,1893.73,1823.42,454.83K,-2.76%
6/06/2023,ETH,1884.17,1811.19,1895.79,1800.75,518.57K,4.03%
5/06/2023,ETH,1811.20,1890.00,1890.53,1782.82,588.61K,-4.17%
4/06/2023,ETH,1890.04,1892.05,1914.12,1884.54,183.07K,-0.11%
3/06/2023,ETH,1892.05,1907.10,1907.90,1884.17,157.10K,-0.79%
2/06/2023,ETH,1907.10,1861.77,1910.01,1847.84,329.16K,2.43%
1/06/2023,ETH,1861.77,1873.62,1888.07,1846.23,286.98K,-0.63%
31/05/2023,ETH,1873.63,1900.59,1906.21,1852.00,337.87K,-1.42%
30/05/2023,ETH,1900.59,1892.61,1915.91,1882.97,288.67K,0.42%
29/05/2023,ETH,1892.61,1908.37,1925.74,1878.33,338.07K,-0.83%
28/05/2023,ETH,1908.35,1829.91,1914.92,1824.70,401.09K,4.29%
27/05/2023,ETH,1829.91,1827.80,1835.94,1817.35,147.46K,0.12%
26/05/2023,ETH,1827.80,1805.62,1837.39,1798.10,290.89K,1.22%
25/05/2023,ETH,1805.69,1799.91,1817.05,1764.92,370.60K,0.32%
24/05/2023,ETH,1799.91,1854.08,1854.08,1781.70,441.64K,-2.92%
23/05/2023,ETH,1854.08,1817.19,1868.89,1815.41,428.05K,2.03%
22/05/2023,ETH,1817.19,1804.89,1827.38,1792.35,250.27K,0.68%
21/05/2023,ETH,1804.89,1819.66,1827.47,1799.03,170.05K,-0.81%
20/05/2023,ETH,1819.68,1812.32,1828.06,1807.08,134.46K,0.41%
19/05/2023,ETH,1812.32,1800.95,1829.33,1796.99,253.50K,0.63%
18/05/2023,ETH,1800.99,1822.12,1831.51,1774.77,311.24K,-1.14%
17/05/2023,ETH,1821.73,1823.98,1834.44,1785.78,376.26K,-0.12%
16/05/2023,ETH,1823.98,1817.11,1830.01,1797.60,325.77K,0.38%
15/05/2023,ETH,1817.11,1799.36,1845.27,1786.61,405.84K,0.99%
14/05/2023,ETH,1799.36,1795.11,1822.93,1791.86,229.74K,0.25%
13/05/2023,ETH,1794.95,1807.31,1814.55,1786.23,223.65K,-0.68%
12/05/2023,ETH,1807.31,1794.71,1812.46,1741.48,598.87K,0.70%
11/05/2023,ETH,1794.71,1840.92,1841.04,1774.30,548.42K,-2.51%
10/05/2023,ETH,1840.92,1846.56,1886.83,1797.07,685.11K,-0.31%
